比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,1,018124,永赢先进制造,07-01,1.8369,1.8369,-0.72%,1.93%,0.69%,-3.01%,45.23%,120.83%,46.37%,---,45.23%,83.69%,120.83%,0.15%,
,2,018125,永赢先进制造,07-01,1.8216,1.8216,-0.72%,1.92%,0.65%,-3.11%,44.94%,119.95%,45.18%,---,44.94%,82.16%,119.95%,0.00%,
,3,014938,同泰产业升级,07-01,1.6303,1.6303,-0.59%,-0.14%,-0.62%,-0.65%,101.92%,115.45%,96.21%,47.86%,101.92%,63.03%,115.45%,0.15%,
,4,014939,同泰产业升级,07-01,1.6093,1.6093,-0.58%,-0.15%,-0.65%,-0.73%,101.52%,114.60%,94.67%,46.10%,101.52%,60.93%,114.60%,0.00%,
,5,016530,鹏华碳中和主,07-01,1.4688,1.4688,-0.97%,0.78%,-0.51%,-6.10%,48.03%,104.63%,30.90%,---,48.03%,46.88%,104.63%,0.15%,
,6,016531,鹏华碳中和主,07-01,1.4500,1.4500,-0.97%,0.77%,-0.57%,-6.23%,47.60%,103.45%,29.35%,---,47.60%,45.00%,103.45%,0.00%,
,7,320016,诺安多策略混,07-01,2.7300,2.7300,0.59%,3.14%,9.24%,22.15%,41.45%,100.74%,81.76%,31.25%,41.45%,173.00%,100.74%,0.15%,
,8,001970,泰信鑫选灵活,07-01,1.2170,1.2170,-0.41%,0.75%,2.96%,-0.33%,18.27%,96.93%,16.46%,1.00%,18.27%,21.70%,96.93%,0.15%,
,9,002580,泰信鑫选灵活,07-01,1.2080,1.2080,-0.33%,0.75%,2.98%,-0.33%,18.32%,96.74%,16.27%,0.75%,18.32%,20.32%,96.74%,0.00%,
,10,021489,中航趋势领航,07-01,1.9086,1.9486,-0.89%,1.11%,1.25%,-4.57%,36.93%,96.41%,---,---,36.93%,96.33%,96.41%,0.15%,
,11,015630,申万菱信乐融,07-01,1.5422,1.5422,0.92%,4.08%,4.75%,28.98%,59.22%,95.91%,58.21%,54.28%,59.22%,54.22%,95.91%,0.15%,
,12,007713,华富科技动能,07-01,1.3020,1.3520,-0.87%,0.33%,-1.01%,3.16%,39.52%,95.44%,27.22%,2.72%,39.52%,35.49%,95.44%,0.15%,
,13,021490,中航趋势领航,07-01,1.8965,1.9365,-0.89%,1.10%,1.21%,-4.71%,36.54%,95.22%,---,---,36.54%,95.11%,95.22%,0.00%,
,14,015631,申万菱信乐融,07-01,1.5237,1.5237,0.91%,4.07%,4.71%,28.83%,58.90%,95.15%,56.95%,52.46%,58.90%,52.37%,95.15%,0.00%,
,15,017968,华富科技动能,07-01,1.2842,1.2842,-0.88%,0.31%,-1.07%,3.01%,39.09%,94.25%,25.72%,---,39.09%,16.59%,94.25%,0.00%,
,16,011188,信澳星奕混合,07-01,1.4929,1.4929,0.05%,1.52%,3.99%,8.63%,32.87%,91.47%,40.95%,11.15%,32.87%,49.29%,91.47%,0.15%,
,17,018993,中欧数字经济,07-01,1.7036,1.7036,0.04%,5.25%,16.44%,12.43%,34.53%,91.20%,---,---,34.53%,70.36%,91.20%,0.15%,
,18,018994,中欧数字经济,07-01,1.6855,1.6855,0.04%,5.24%,16.39%,12.26%,34.13%,90.07%,---,---,34.13%,68.55%,90.07%,0.00%,
,19,011223,信澳星奕混合,07-01,1.4409,1.4409,0.05%,1.50%,3.92%,8.40%,32.33%,89.92%,38.71%,8.51%,32.33%,44.09%,89.92%,0.00%,
,20,007770,同泰开泰混合,07-01,1.0071,1.0071,0.20%,2.18%,2.70%,12.17%,34.98%,86.92%,-7.24%,-34.14%,34.98%,0.71%,86.92%,0.15%,
,21,016243,广发成长领航,07-01,1.6259,1.6759,1.60%,3.42%,4.94%,18.87%,70.99%,86.61%,28.43%,---,70.99%,69.49%,86.61%,0.15%,
