比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,1,016295,新华利率债债,07-01,1.5577,2.0028,0.05%,0.05%,0.25%,0.57%,0.36%,93.88%,97.86%,---,0.36%,100.45%,93.88%,0.00%,
,2,021262,百嘉百臻利率,07-01,1.2502,1.5273,0.01%,0.04%,0.15%,0.36%,0.50%,52.78%,---,---,0.50%,52.90%,52.78%,0.04%,
,3,021263,百嘉百臻利率,07-01,1.2497,1.5268,0.01%,0.03%,0.14%,0.34%,0.45%,52.72%,---,---,0.45%,52.84%,52.72%,0.00%,
,4,010768,建信利率债策,07-01,1.3831,1.4891,0.07%,0.04%,0.29%,0.84%,0.06%,36.03%,40.35%,43.80%,0.06%,51.07%,36.03%,0.00%,
,5,100035,富国优化增强,07-01,1.9780,2.2930,0.36%,1.33%,2.91%,1.91%,12.71%,28.36%,24.09%,19.35%,12.71%,143.25%,28.36%,0.08%,
,6,018980,富国优化增强,07-01,1.9650,1.9650,0.36%,1.34%,2.88%,1.92%,12.74%,28.35%,---,---,12.74%,21.90%,28.35%,0.00%,
,7,610008,信澳信用债债,07-01,1.1530,1.6750,0.35%,1.86%,3.87%,3.32%,10.12%,25.19%,9.80%,10.08%,10.12%,82.97%,25.19%,0.08%,
,8,610108,信澳信用债债,07-01,1.1430,1.6250,0.26%,1.78%,3.81%,3.16%,10.01%,24.92%,9.30%,9.48%,10.01%,76.23%,24.92%,0.00%,
,9,002405,光大中高等级,07-01,1.5550,1.5956,0.47%,2.18%,4.43%,2.36%,6.72%,24.25%,23.16%,17.39%,6.72%,61.06%,24.25%,0.08%,
,10,240012,华宝增强收益,07-01,1.4896,1.8696,0.92%,4.40%,8.37%,5.23%,11.33%,24.00%,7.77%,6.67%,11.33%,100.44%,24.00%,0.08%,
,11,002406,光大中高等级,07-01,1.5070,1.5471,0.47%,2.17%,4.39%,2.27%,6.52%,23.75%,22.17%,16.00%,6.52%,56.08%,23.75%,0.00%,
,12,240013,华宝增强收益,07-01,1.3820,1.7620,0.93%,4.40%,8.34%,5.14%,11.12%,23.53%,6.92%,5.41%,11.12%,87.88%,23.53%,0.00%,
,13,001862,东方红收益增,07-01,1.2764,1.5064,0.24%,1.61%,3.07%,2.86%,7.47%,22.70%,17.71%,15.00%,7.47%,57.39%,22.70%,0.08%,
,14,001751,华商信用增强,07-01,1.6750,1.6750,0.12%,2.32%,4.56%,4.88%,10.42%,22.62%,16.56%,16.00%,10.42%,67.50%,22.62%,0.08%,
,15,001752,华商信用增强,07-01,1.6110,1.6110,0.19%,2.35%,4.54%,4.81%,10.27%,22.23%,15.65%,14.66%,10.27%,61.10%,22.23%,0.00%,
,16,001863,东方红收益增,07-01,1.2456,1.4596,0.24%,1.60%,3.04%,2.76%,7.25%,22.21%,16.76%,13.63%,7.25%,51.79%,22.21%,0.00%,
,17,005212,汇安稳裕债券,07-01,1.1978,1.3348,0.27%,-0.04%,1.25%,3.62%,1.84%,21.46%,19.07%,17.60%,1.84%,36.19%,21.46%,0.08%,
,18,040012,华安强化收益,07-01,1.3566,2.2630,0.14%,1.66%,4.01%,2.56%,8.85%,21.12%,18.39%,19.08%,8.85%,184.68%,21.12%,0.08%,
,19,000003,中海可转债债,07-01,0.9240,1.1340,0.76%,2.67%,4.05%,7.19%,10.92%,20.94%,10.39%,5.72%,10.92%,8.64%,20.94%,0.08%,
,20,005793,华富可转债债,07-01,1.4454,1.4454,0.49%,1.87%,3.49%,4.54%,10.15%,20.94%,1.17%,-8.00%,10.15%,44.54%,20.94%,0.08%,
,21,360013,光大信用添益,07-01,1.0980,2.0460,0.27%,2.43%,5.17%,1.57%,7.54%,20.93%,4.67%,1.26%,7.54%,155.29%,20.93%,0.08%,
,22,004993,中欧可转债债,07-01,1.4177,1.4177,0.51%,2.52%,4.69%,5.81%,13.11%,20.84%,7.95%,-5.53%,13.11%,41.77%,20.84%,0.08%,
,23,040013,华安强化收益,07-01,1.3413,2.1690,0.14%,1.66%,3.98%,2.47%,8.64%,20.65%,17.46%,17.64%,8.64%,166.14%,20.65%,0.00%,
,24,000004,中海可转债债,07-01,0.9040,1.1140,0.78%,2.73%,4.03%,7.11%,10.78%,20.53%,9.44%,4.51%,10.78%,6.29%,20.53%,0.00%,
,25,003504,景顺长城景颐,07-01,1.2841,1.3379,0.40%,1.76%,4.76%,6.02%,7.40%,20.50%,14.55%,9.48%,7.40%,34.99%,20.50%,0.08%,
,26,360014,光大信用添益,07-01,1.0900,1.9940,0.28%,2.44%,5.11%,1.49%,7.39%,20.44%,4.01%,0.34%,7.39%,144.07%,20.44%,0.00%,
,27,004994,中欧可转债债,07-01,1.3770,1.3770,0.51%,2.52%,4.65%,5.70%,12.89%,20.37%,7.10%,-6.65%,12.89%,37.70%,20.37%,0.00%,
,28,217018,招商安瑞进取,07-01,2.0436,2.0436,0.85%,3.54%,6.47%,8.02%,11.73%,20.34%,4.59%,2.59%,11.73%,104.36%,20.34%,0.08%,
,29,720002,财通可转债债,07-01,1.0375,1.3918,1.00%,2.22%,3.36%,5.62%,7.64%,20.16%,9.97%,-3.63%,7.64%,44.02%,20.16%,0.08%,
,30,003505,景顺长城景颐,07-01,1.2567,1.3104,0.40%,1.76%,4.73%,5.92%,7.20%,20.09%,13.66%,8.20%,7.20%,32.11%,20.09%,0.00%,
,31,019500,招商安瑞进取,07-01,2.0375,2.0375,0.85%,3.53%,6.44%,7.94%,11.56%,19.97%,---,---,11.56%,3.95%,19.97%,0.00%,
,32,003628,兴银收益增强,07-01,1.2148,1.4647,0.37%,1.64%,3.45%,2.26%,8.75%,19.70%,14.64%,14.91%,8.75%,50.52%,19.70%,0.08%,
,33,003205,财通可转债债,07-01,1.0797,1.1274,1.00%,2.21%,3.32%,5.52%,7.42%,19.67%,9.07%,-4.77%,7.42%,12.70%,19.67%,0.00%,
,34,018500,兴银收益增强,07-01,1.2702,1.4434,0.38%,1.64%,3.44%,2.24%,8.70%,19.58%,14.42%,---,8.70%,13.88%,19.58%,0.00%,
,35,008897,上银可转债精,07-01,0.8508,0.8508,0.66%,2.35%,3.84%,5.61%,11.01%,19.41%,7.33%,-9.89%,11.01%,-14.92%,19.41%,0.08%,
,36,009512,天弘添利债券,07-01,1.3677,1.4277,0.44%,2.51%,4.19%,1.55%,6.95%,19.36%,12.72%,4.87%,6.95%,42.68%,19.36%,0.08%,
,37,015748,上银可转债精,07-01,0.8440,0.8440,0.67%,2.34%,3.81%,5.53%,10.85%,19.06%,6.69%,-10.66%,10.85%,-5.25%,19.06%,0.00%,
,38,164206,天弘添利债券,07-01,1.5736,2.2581,0.43%,2.50%,4.16%,1.46%,6.76%,18.93%,11.92%,3.77%,6.76%,183.28%,18.93%,0.00%,
,39,003133,易方达裕鑫债,07-01,1.5866,1.6556,0.40%,1.94%,3.08%,2.76%,6.54%,18.77%,14.38%,13.40%,6.54%,67.94%,18.77%,0.10%,
,40,003134,易方达裕鑫债,07-01,1.5780,1.6370,0.40%,1.94%,3.06%,2.71%,6.44%,18.54%,13.92%,12.73%,6.44%,65.52%,18.54%,0.00%,
,41,690002,民生增强收益,07-01,1.6087,2.3337,0.45%,3.95%,5.61%,3.52%,7.75%,18.20%,5.63%,1.43%,7.75%,162.23%,18.20%,0.08%,
,42,000028,华富安鑫债券,07-01,1.0686,1.5666,0.32%,1.62%,3.07%,3.31%,10.10%,18.04%,7.80%,3.17%,10.10%,67.19%,18.04%,0.08%,
