比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,1,021298,中欧北证50,07-01,1.9973,1.9973,0.64%,2.67%,3.27%,11.91%,35.25%,122.71%,---,---,35.25%,99.73%,122.71%,0.10%,
,2,021299,中欧北证50,07-01,1.9916,1.9916,0.65%,2.67%,3.25%,11.83%,35.08%,122.13%,---,---,35.08%,99.16%,122.13%,0.00%,
,3,018128,博时北证50,07-01,1.6947,1.6947,0.65%,2.64%,3.94%,13.88%,39.36%,118.98%,77.53%,---,39.36%,69.47%,118.98%,0.10%,
,4,017512,广发北证50,07-01,1.7197,1.7197,0.67%,2.67%,4.09%,14.64%,40.97%,118.43%,82.77%,---,40.97%,71.97%,118.43%,0.12%,
,5,018129,博时北证50,07-01,1.6783,1.6783,0.64%,2.63%,3.90%,13.76%,39.08%,118.10%,76.13%,---,39.08%,67.83%,118.10%,0.00%,
,6,017513,广发北证50,07-01,1.7070,1.7070,0.66%,2.66%,4.06%,14.55%,40.75%,117.76%,81.67%,---,40.75%,70.70%,117.76%,0.00%,
,7,019993,创金合信北证,07-01,1.6533,1.6533,0.52%,2.73%,3.76%,11.69%,37.88%,103.86%,---,---,37.88%,65.33%,103.86%,0.12%,
,8,019994,创金合信北证,07-01,1.6460,1.6460,0.52%,2.73%,3.73%,11.60%,37.67%,103.26%,---,---,37.67%,64.60%,103.26%,0.00%,
,9,017515,易方达北证5,07-01,1.4787,1.4787,0.65%,2.67%,3.74%,14.20%,38.83%,103.06%,64.98%,---,38.83%,47.87%,103.06%,0.12%,
,10,017516,易方达北证5,07-01,1.4677,1.4677,0.65%,2.67%,3.71%,14.12%,38.62%,102.44%,63.99%,---,38.62%,46.77%,102.44%,0.00%,
,11,017519,汇添富北证5,07-01,1.4390,1.4390,0.64%,2.64%,3.57%,13.42%,38.22%,95.81%,57.60%,---,38.22%,43.90%,95.81%,0.10%,
,12,017520,汇添富北证5,07-01,1.4248,1.4248,0.64%,2.64%,3.54%,13.31%,37.94%,95.04%,56.35%,---,37.94%,42.48%,95.04%,0.00%,
,13,017517,招商北证50,07-01,1.5340,1.5340,0.65%,2.66%,3.80%,13.12%,37.73%,92.52%,61.66%,---,37.73%,53.40%,92.52%,0.12%,
,14,017518,招商北证50,07-01,1.5224,1.5224,0.65%,2.65%,3.78%,13.03%,37.52%,91.93%,60.68%,---,37.52%,52.24%,91.93%,0.00%,
,15,018112,工银北证50,07-01,1.6029,1.6029,0.65%,2.66%,3.33%,12.76%,36.79%,90.41%,69.44%,---,36.79%,60.29%,90.41%,0.10%,
,16,018113,工银北证50,07-01,1.5922,1.5922,0.64%,2.65%,3.30%,12.67%,36.59%,89.84%,68.40%,---,36.59%,59.22%,89.84%,0.00%,
