基金代码,基金简称,综合评分,近3年,手续费,基金类型,类型代码
1167,金鹰科技创新,70.0,77.62,0.15,股票型,tgp
13133,创金合信文娱,68.46667887783458,56.15,0.0,股票型,tgp
9602,招商科技动力,67.48303013562442,47.98,0.0,股票型,tgp
7950,招商量化精选,59.31679985874913,37.17,0.0,股票型,tgp
14163,富国港股通量,57.470046213816374,40.59,0.0,股票型,tgp
8924,建信医疗健康,53.38455304979364,36.0,0.0,股票型,tgp
540007,汇丰晋信中小,52.125213370903666,43.8,0.15,股票型,tgp
10321,中银大健康股,50.825972924477085,41.61,0.0,股票型,tgp
9601,招商科技动力,50.34264996589821,51.53,0.15,股票型,tgp
13132,创金合信文娱,50.220527268510395,58.52,0.15,股票型,tgp
