基金代码,基金简称,综合评分,近3年,手续费,基金类型,类型代码
7509,华商润丰灵活,76.92706827604839,66.58,0.0,混合型,thh
210009,金鹰核心资源,70.0,77.72,0.15,混合型,thh
14318,广发价值领航,68.53104078067537,63.71,0.0,混合型,thh
12587,南方港股创新,63.5059389992787,49.31,0.0,混合型,thh
15751,景顺长城品质,59.90846292988597,44.63,0.0,混合型,thh
4206,华商元亨混合,58.79739001881855,64.11,0.15,混合型,thh
165531,中信保诚多策,58.489510479117946,72.15,0.15,混合型,thh
3598,华商润丰灵活,57.29982860849019,67.09,0.15,混合型,thh
6038,大成景恒混合,57.282786131180245,47.77,0.0,混合型,thh
15631,申万菱信乐融,57.1917568256939,52.46,0.0,混合型,thh
