基金代码,基金简称,综合评分,近3年,手续费,基金类型,类型代码
3359,大成360互,87.36622624999512,67.09,0.0,指数型,tzs
12729,国泰中证动漫,81.55925012459261,56.16,0.0,指数型,tzs
12769,华夏中证动漫,78.8897459081902,54.85,0.0,指数型,tzs
2236,大成360互,73.96839320576859,70.16,0.12,指数型,tzs
14544,汇添富中证沪,71.26457919002908,46.95,0.0,指数型,tzs
12728,国泰中证动漫,69.48878753325732,57.57,0.1,指数型,tzs
6355,华宝香港大盘,64.52925581370113,39.52,0.0,指数型,tzs
12768,华夏中证动漫,64.13680735693868,56.25,0.12,指数型,tzs
14543,汇添富中证沪,59.09813271665279,48.37,0.1,指数型,tzs
13278,富国中证体育,50.84671877178582,24.66,0.0,指数型,tzs
